"","Temperature","393b","method"
"122",57.1,0.877596865032021,"Inner"
"123",57.2,0.925023646820626,"Inner"
"124",57.3,0.975382665414168,"Inner"
"125",57.4,1.02443065480447,"Inner"
"126",57.5,1.0679599801172,"Inner"
"127",57.6,1.10419674297225,"Inner"
"128",57.7,1.13532007696956,"Inner"
"129",57.8,1.16387119998289,"Inner"
"130",57.9,1.19218352354097,"Inner"
"131",58,1.22162241651469,"Inner"
"132",58.1,1.25327158356788,"Inner"
"133",58.2,1.28821469767507,"Inner"
"134",58.3,1.32741446590982,"Inner"
"135",58.4,1.37088793237791,"Inner"
"136",58.5,1.41820720286932,"Inner"
"137",58.6,1.4689413789588,"Inner"
"138",58.7,1.52264739634207,"Inner"
"139",58.8,1.57886830671679,"Inner"
"140",58.9,1.63714640454546,"Inner"
"141",59,1.69702409519974,"Inner"
"142",59.1,1.75805369614471,"Inner"
"143",59.2,1.81980512923523,"Inner"
"144",59.3,1.88185012667546,"Inner"
"145",59.4,1.94398779653951,"Inner"
"146",59.5,2.00707597164762,"Inner"
"147",59.6,2.07228039611152,"Inner"
"148",59.7,2.14076684839233,"Inner"
"149",59.8,2.213492745824,"Inner"
"150",59.9,2.28978677160879,"Inner"
"151",60,2.36821134313791,"Inner"
"152",60.1,2.44736465862807,"Inner"
"153",60.2,2.52727002457733,"Inner"
"154",60.3,2.60972518844825,"Inner"
"155",60.4,2.69663906272703,"Inner"
"156",60.5,2.78990838871636,"Inner"
"157",60.6,2.88994844285413,"Inner"
"158",60.7,2.99429255728014,"Inner"
"159",60.8,3.10014228756194,"Inner"
"160",60.9,3.20516973506379,"Inner"
"161",61,3.30946945208977,"Inner"
"162",61.1,3.41391333656332,"Inner"
"163",61.2,3.51937364613025,"Inner"
"164",61.3,3.62670101727686,"Inner"
"165",61.4,3.73653509684913,"Inner"
"166",61.5,3.84939640545485,"Inner"
"167",61.6,3.9657901883133,"Inner"
"168",61.7,4.08562156864648,"Inner"
"169",61.8,4.20798040704531,"Inner"
"170",61.9,4.33189833519637,"Inner"
"171",62,4.45640885209339,"Inner"
"172",62.1,4.58086939606457,"Inner"
"173",62.2,4.70532767180785,"Inner"
"174",62.3,4.82991994589404,"Inner"
"175",62.4,4.95487310868065,"Inner"
"176",62.5,5.08093018205092,"Inner"
"177",62.6,5.20901664685715,"Inner"
"178",62.7,5.34005819394219,"Inner"
"179",62.8,5.4749070581809,"Inner"
"180",62.9,5.61369881655753,"Inner"
"181",63,5.75616448745893,"Inner"
"182",63.1,5.90203052511682,"Inner"
"183",63.2,6.05095591585669,"Inner"
"184",63.3,6.2011601156011,"Inner"
"185",63.4,6.34948277068084,"Inner"
"186",63.5,6.49271323308243,"Inner"
"187",63.6,6.62903216951572,"Inner"
"188",63.7,6.75987715469737,"Inner"
"189",63.8,6.88715112504602,"Inner"
"190",63.9,7.01275701702282,"Inner"
"191",64,7.13860807346383,"Inner"
"192",64.1,7.26665679623455,"Inner"
"193",64.2,7.3988650335762,"Inner"
"194",64.3,7.53682666551092,"Inner"
"195",64.4,7.67810249781144,"Inner"
"196",64.5,7.81776295879491,"Inner"
"197",64.6,7.95084170841208,"Inner"
"198",64.7,8.07258475010804,"Inner"
"199",64.8,8.18276678139517,"Inner"
"200",64.9,8.28550222865608,"Inner"
"201",65,8.38507395053714,"Inner"
"202",65.1,8.48414269944304,"Inner"
"203",65.2,8.58157302052375,"Inner"
"204",65.3,8.67568719347668,"Inner"
"205",65.4,8.76480749799926,"Inner"
"206",65.5,8.84728759279121,"Inner"
"207",65.6,8.92161319934378,"Inner"
"208",65.7,8.98630477601567,"Inner"
"209",65.8,9.04001792867903,"Inner"
"210",65.9,9.08307990932224,"Inner"
"211",66,9.11694620382614,"Inner"
"212",66.1,9.14309346910589,"Inner"
"213",66.2,9.16296329514865,"Inner"
"214",66.3,9.1771229481144,"Inner"
"215",66.4,9.18522596717213,"Inner"
"216",66.5,9.1868841414508,"Inner"
"217",66.6,9.182248541934,"Inner"
"218",66.7,9.17285757562139,"Inner"
"219",66.8,9.16046967887532,"Inner"
"220",66.9,9.1468432880581,"Inner"
"221",67,9.1327875088479,"Inner"
"222",67.1,9.11511479526933,"Inner"
"223",67.2,9.08958601798923,"Inner"
"224",67.3,9.05183104666788,"Inner"
"225",67.4,8.99564079914767,"Inner"
"226",67.5,8.91345006968579,"Inner"
"227",67.6,8.79766203883476,"Inner"
"228",67.7,8.64096618592047,"Inner"
"229",67.8,8.44450046223843,"Inner"
"230",67.9,8.21903807508525,"Inner"
"231",68,7.97587606153112,"Inner"
"232",68.1,7.72532803810824,"Inner"
"233",68.2,7.47491962545726,"Inner"
"234",68.3,7.23168577875679,"Inner"
"235",68.4,7.00266145318532,"Inner"
"236",68.5,6.79344717500794,"Inner"
"237",68.6,6.60296607439976,"Inner"
"238",68.7,6.42819976792158,"Inner"
"239",68.8,6.26625267126148,"Inner"
"240",68.9,6.11620045421738,"Inner"
"241",69,5.97870595431151,"Inner"
"242",69.1,5.85447707371156,"Inner"
"243",69.2,5.74418326694042,"Inner"
"244",69.3,5.64713352040208,"Inner"
"245",69.4,5.56094345563683,"Inner"
"246",69.5,5.48312289370472,"Inner"
"247",69.6,5.41169143300166,"Inner"
"248",69.7,5.34626203177427,"Inner"
"249",69.8,5.28675809922968,"Inner"
"250",69.9,5.233103044575,"Inner"
"251",70,5.18517259339784,"Inner"
"252",70.1,5.14259685291656,"Inner"
"253",70.2,5.10492707133511,"Inner"
"254",70.3,5.07170314631111,"Inner"
"255",70.4,5.04228350928648,"Inner"
"256",70.5,5.01588039604187,"Inner"
"257",70.6,4.99170188608344,"Inner"
"258",70.7,4.96895877366709,"Inner"
"259",70.8,4.94697903396957,"Inner"
"260",70.9,4.92524996623397,"Inner"
"261",71,4.90327028428826,"Inner"
"262",71.1,4.88074167078307,"Inner"
"263",71.2,4.85806637845716,"Inner"
"264",71.3,4.83579770199678,"Inner"
"265",71.4,4.81448893608816,"Inner"
"266",71.5,4.79454310323425,"Inner"
"267",71.6,4.77541257940697,"Inner"
"268",71.7,4.75617908038995,"Inner"
"269",71.8,4.73594720125487,"Inner"
"270",71.9,4.71432885822218,"Inner"
"271",72,4.69142289844419,"Inner"
"272",72.1,4.6673478100756,"Inner"
"273",72.2,4.64222381706046,"Inner"
"274",72.3,4.61626446266865,"Inner"
"275",72.4,4.58982203045377,"Inner"
"276",72.5,4.56326007421435,"Inner"
"277",72.6,4.53694126969714,"Inner"
"278",72.7,4.51099221914392,"Inner"
"279",72.8,4.48498588459442,"Inner"
"280",72.9,4.45841595745618,"Inner"
"281",73,4.4309006373826,"Inner"
"282",73.1,4.40284660637769,"Inner"
"283",73.2,4.37496827316005,"Inner"
"284",73.3,4.34798074949944,"Inner"
"285",73.4,4.32251927792386,"Inner"
"286",73.5,4.29834052639086,"Inner"
"287",73.6,4.27465717154409,"Inner"
"288",73.7,4.250675167907,"Inner"
"289",73.8,4.2256945126288,"Inner"
"290",73.9,4.19916815237592,"Inner"
"291",74,4.17056306770474,"Inner"
"292",74.1,4.13934761559264,"Inner"
"293",74.2,4.10561821251885,"Inner"
"294",74.3,4.07109150866573,"Inner"
"295",74.4,4.03774190100095,"Inner"
